title,label
The Colbert Report,real
Lance Armstrong's defiant Twitter photo shows him relaxing with seven yellow jerseys,fake
TSA: Frequently Asked Questions,real
"Haiti Official Getting Ready To Testify Against Clinton Foundation Corruption NEXT WEEK, Found DEAD With “Gunshot to the head”",fake
Pope says that the rights of Muslim migrants trump any safety concerns that you might have with them in your country,fake
ни чего нового как правильно,fake
Teamsters Tout ANWR on Capitol Hill,real
Senate Report Admits Clinton ‘Gifted’ Children To Human Traffickers,fake
Hurricane Irene: ‘Photo’ of shark swimming in street is fake,fake
WATCH FULL Ted Cruz presser on new deal with Kasich (UPDATE: PART TWO ADDED),real
 accessed Aug 11,fake
The Democratic Debate in Cleveland,real
Miley Cyrus: 'Donald Trump Is a F--king Nightmare',fake
OBAMA’S PRIVATE ‘SECURITY’ COMPANY SETS UP MASSIVE CAMPS OUTSIDE 3 MAJOR CITIES,fake
BREAKING: Mike Huckabee Just Fired!,fake
Organizing for Action,real
Transcript of AP interview with Trump,real
UPDATE: Van Full Of Illegals Caught Voting At Multiple Alabama Polling Locations,fake
Crime in Chicago: Explore your community,real
Top Presidential Candidate 2008 Websites,real
John Hagee discusses Catholic Church,real
Maxine Waters Is Getting Criminally Charged!,fake
Political TV Ad Archive » PolAd,real
2007 Federal Tax Rate Schedules,real
Remarks by the President at AFL CIO Labor Day Picnic,real
"As Dems’ “Stimulus” Anniversary Nears, Americans Ask: “Where are the Jobs?”",real
MoveOn.org Political Action: 10 things to know about McCain,real
China's Space Threat: How Missiles Could Target U.S. Satellites,real
Sarah Palin on Twitter,real
And we pay her a salary!.... - Judge Jeanine Pirro has Fans,fake
LISTEN: Curious Robocall Seeks 'Damaging' Information on Moore,fake
"Rick Santorum: By amending constitution, we can balance the budget for good",real
Clinton Email: We Must Destroy Syria For Israel,fake
'This Week' Transcript: Kaine and Steele,real
"Transcript: The Democratic debate in Milwaukee, annotated",real
testimony submitted to the Congressional Oversight Panel’s hearing on the TARPs impact on financial stability,real
United States Department of Defense,real
"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died",fake
